priority,gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,missing_metabolites_count,missing_metabolites,equation
P2,YALI1E30886g,4.1.2.13,MNXR153519,,R01070,0,,1 MNXM1364229@MNXD1 = 1 MNXM1372045@MNXD1 + 1 MNXM77@MNXD1
P2,YALI1E30886g,4.1.2.13,MNXR146532,,R01069,0,,1 MNXM1103932@MNXD1 = 1 MNXM1372045@MNXD1 + 1 MNXM77@MNXD1
P2,YALI1E31754g,5.1.3.2,MNXR147943,,R02984,2,MNXM1105949|MNXM1105950,1 MNXM1105949@MNXD1 + 2 MNXM1@MNXD1 = 1 MNXM1105950@MNXD1
P2,YALI1E31947g,1.2.4.1,MNXR107129,,R01699,2,MNXM738857|MNXM741250,1 MNXM13@MNXD1 + 1 MNXM738857@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM741250@MNXD1
P2,YALI1E33285g,4.1.2.27,MNXR198560,,R06516,2,MNXM1104091|MNXM1371120,1 MNXM1104091@MNXD1 = 1 MNXM1371120@MNXD1 + 1 MNXM187@MNXD1
P2,YALI1E38810g,2.3.1.20,MNXR147588,,R02251,0,,1 MNXM727276@MNXD1 + 1 MNXM732989@MNXD1 = 1 MNXM729259@MNXD1 + 1 MNXM738570@MNXD1
P2,YALI1E38810g,2.3.1.20,MNXR112897,,R09474,2,MNXM10887|MNXM146118,1 MNXM10887@MNXD1 = 1 MNXM146118@MNXD1
P2,YALI1E39693g,1.2.4.2,MNXR190426,R_ODH2E,R01933,3,MNXM1104451|MNXM727276|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1104451@MNXD1 + 1 MNXM13@MNXD1 = 1 MNXM263@MNXD1 + 1 MNXM727276@MNXD1 + 1 MNXM8@MNXD1
P2,YALI1E39693g,1.2.4.2,MNXR106444,,R00265,1,MNXM727276,1 MNXM1104774@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM1368744@MNXD1 + 1 MNXM5@MNXD1 + 1 MNXM727276@MNXD1
P2,YALI1E39693g,1.2.4.2,MNXR107130,,R01700,2,MNXM738208|MNXM741250,1 MNXM1368744@MNXD1 + 1 MNXM741250@MNXD1 = 1 MNXM13@MNXD1 + 1 MNXM738208@MNXD1
P2,YALI1E40671g,1.11.1.6,MNXR191236,,R02670,1,MNXM7176,2 MNXM1107906@MNXD1 + 1 MNXM7176@MNXD1 + 2 MNXM732620@MNXD1 = 2 MNXM1108156@MNXD1 + 4 MNXM735438@MNXD1
P2,YALI1F15367g,3.4.19.12,MNXR107493,,R02418,3,MNXM13207|MNXM54|MNXM906,1 MNXM13207@MNXD1 + 1 WATER@MNXD1 = 1 MNXM54@MNXD1 + 1 MNXM906@MNXD1
P2,YALI1M00131g,7.1.1.9,MNXR106381,,R00082,2,MNXM5155|MNXM5156,4 MNXM1@MNXD1 + 4 MNXM5156@MNXD1 + 1 MNXM735438@MNXD1 = 4 MNXM5155@MNXD1 + 2 WATER@MNXD1
P3,YALI0B10406g,4.2.1.17,MNXR97357,R_DHACOAH,,2,MNXM1363953|MNXM739676,1 MNXM1363953@MNXD1 = 1 MNXM739676@MNXD1 + 1 WATER@MNXD1
P3,YALI0B10406g,4.2.1.17,MNXR153428,R_ECOAH11p,,2,MNXM726926|MNXM91798,1 MNXM726926@MNXD1 + 1 WATER@MNXD1 = 1 MNXM91798@MNXD1
P3,YALI0B10406g,4.2.1.17,MNXR153426,R_HVE,,2,MNXM1363971|MNXM737273,1 MNXM1363971@MNXD1 + 1 WATER@MNXD1 = 1 MNXM737273@MNXD1
P3,YALI0B10406g,4.2.1.17,MNXR147975,R_ECOAH1_1,,2,MNXM1363936|MNXM726352,1 MNXM1363936@MNXD1 + 1 WATER@MNXD1 = 1 MNXM726352@MNXD1
P3,YALI0B10406g,4.2.1.17,MNXR153437,R_ECOAH5_1,,2,MNXM1104711|MNXM739105,1 MNXM1104711@MNXD1 = 1 MNXM739105@MNXD1 + 1 WATER@MNXD1
P3,YALI0B10406g,4.2.1.17,MNXR151686,R_ECOAH2c,,2,MNXM1104781|MNXM726150,1 MNXM1104781@MNXD1 + 1 WATER@MNXD1 = 1 MNXM726150@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR200412,,,2,MNXM1563164|MNXM90879,1 MNXM11@MNXD1 + 1 MNXM1563164@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM199@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90879@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR145294,,,2,MNXM741225|MNXM90879,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741225@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1 + 1 MNXM90879@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR165442,,,2,MNXM1091276|MNXM741224,1 MNXM1091276@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1 = 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741224@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR115986,,,2,MNXM16648|MNXM90879,1 MNXM11@MNXD1 + 1 MNXM16648@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1 + 1 MNXM90879@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR132260,,,1,MNXM168026,1 MNXM11@MNXD1 + 1 MNXM168026@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR145295,,,2,MNXM741226|MNXM90879,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741226@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1 + 1 MNXM90879@MNXD1
P3,YALI1A00309g,6.1.1.5,MNXR187879,,,1,MNXM90879,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1 + 1 MNXM90879@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR146067,R_PIK4n_cho,,2,MNXM727361|MNXM730338,1 MNXM3@MNXD1 + 1 MNXM730338@MNXD1 = 1 MNXM40333@MNXD1 + 1 MNXM727361@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR166054,,,2,MNXM1105931|MNXM1364165,1 MNXM1105931@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM1364165@MNXD1 + 1 MNXM3@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR173900,,,2,MNXM1105988|MNXM727360,1 MNXM1105988@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM727360@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR135228,,,2,MNXM730340|MNXM95573,1 MNXM3@MNXD1 + 1 MNXM730340@MNXD1 = 1 MNXM40333@MNXD1 + 1 MNXM95573@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR114879,,,2,MNXM727358|MNXM730327,1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM727358@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM730327@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR164881,,,2,MNXM146780|MNXM743721,1 MNXM146780@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM40333@MNXD1 + 1 MNXM743721@MNXD1
P3,YALI1A02974g,2.7.1.67,MNXR146069,,,2,MNXM1106973|MNXM727357,1 MNXM1106973@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM40333@MNXD1 + 1 MNXM727357@MNXD1
P3,YALI1A05459g,2.6.1.85,MNXR187421,,,0,,1 MNXM337@MNXD1 + 1 MNXM37@MNXD1 = 1 MNXM741173@MNXD1
P3,YALI1A06873g,3.2.1.39,MNXR129709,,,1,MNXM1104963,1 MNXM1104963@MNXD1 = 1 MNXM1108367@MNXD1 + 1 WATER@MNXD1
P3,YALI1A06873g,3.2.1.39,MNXR136108,,,0,,1 MNXM1364061@MNXD1 = 1 MNXM90673@MNXD1 + 1 WATER@MNXD1
P3,YALI1A06873g,3.2.1.39,MNXR135038,,,0,,1 MNXM1364061@MNXD1 = 1 WATER@MNXD1
P3,YALI1A06873g,3.2.1.39,MNXR173485,,,1,MNXM90673,1 MNXM1364060@MNXD1 = 1 MNXM90673@MNXD1 + 1 WATER@MNXD1
P3,YALI1A08512g,2.7.1.35,MNXR200585,,,2,MNXM37423|MNXM37424,1 MNXM1@MNXD1 + 1 MNXM37424@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM37423@MNXD1 + 1 MNXM3@MNXD1
