reaction,name,kegg,n_current_ec,current_ec,kegg_ec,action,keep_ec,drop_ec
R1393,fatty-acyl-CoA synthase (n-C18:0CoA),,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R19,2-hexaprenyl-6-methoxyphenol monooxygenase,,6,1.14.15.45;1.14.15.46;1.14.99.60;2.1.1.114;2.1.1.201;2.1.1.64,,skip_no_kegg,1.14.15.45;1.14.15.46;1.14.99.60;2.1.1.114;2.1.1.201;2.1.1.64,
R2217,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2220,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2223,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2226,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2229,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2232,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2235,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2237,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2239,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R2241,fatty acyl ACP hydrolase,,8,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,,skip_no_kegg,1.1.1.100;1.3.1.9;2.3.1.38;2.3.1.39;2.3.1.41;2.3.1.86;3.1.2.14;4.2.1.59,
R35,3-dehydroquinate dehydratase,,5,1.1.1.25;2.5.1.19;2.7.1.71;4.2.1.10;4.2.3.4,,skip_no_kegg,1.1.1.25;2.5.1.19;2.7.1.71;4.2.1.10;4.2.3.4,
R385,hexaprenyldihydroxybenzoate methyltransferase,,6,1.14.15.45;1.14.15.46;1.14.99.60;2.1.1.114;2.1.1.201;2.1.1.64,,skip_no_kegg,1.14.15.45;1.14.15.46;1.14.99.60;2.1.1.114;2.1.1.201;2.1.1.64,
R695,quinone oxidoreductase,,6,1.14.15.45;1.14.15.46;1.14.99.60;2.1.1.114;2.1.1.201;2.1.1.64,,skip_no_kegg,1.14.15.45;1.14.15.46;1.14.99.60;2.1.1.114;2.1.1.201;2.1.1.64,
