variant	status	growth	maintenance	maintenance_bounds	objective	actual_boundary_fluxes	ATP_reaction_fluxes	R1372_flux
E0	optimal	1.8718823069403008	7.8625	[7.8625, 1000.0]	1.0*biomass_C - 1.0*biomass_C_reverse_c1d5c	"{""R1003"": -0.00489, ""R1016"": -11.57028864846638, ""R1030"": 0.16984293714212217, ""R1070"": -10.0, ""R1164"": 194.34685128179294, ""R1202"": -0.02586, ""R1204"": -0.05414, ""R1215"": -0.00859, ""R1217"": -0.03434, ""R1220"": -0.02466, ""R1222"": -0.01207, ""R1223"": -0.02727, ""R1231"": -0.07562, ""R1232"": -0.02205, ""R1233"": -0.02486, ""R1234"": -0.10765, ""R1268"": 0.01801796551085059, ""R1287"": -0.06648817186186355, ""R1296"": -0.14110023270487204, ""R1333"": -0.11496342087819658, ""R1354"": -0.25712549744593305, ""R1364"": -53.410705354018674, ""R1373"": 1.8718823069403008}"	"{""R165"": 0.3491640785958812, ""R531"": 0.5147769938201174, ""R798"": 0.3234107218169966, ""R261"": -0.017269986163831214, ""R170"": 0.09226889058025034, ""R309"": 5.072039013272357, ""R759"": 0.3941117165501318, ""R127"": 0.07752577473939057, ""R400"": 6.229968578739759, ""R625"": 0.15456319396636758, ""biomass_C"": 1.8718823069403008, ""R129"": 1.0631149655213674, ""R673"": 0.38630409544788374, ""R1630"": 0.004708193234768682, ""R493"": 0.16952889301035526, ""R628"": 0.23015851751787528, ""R88"": 13.2940902430148, ""R90"": 6.426950492012088, ""R544"": 0.06792873703655657, ""R723"": 0.5329230209035967, ""R1085"": -0.038229452354641764, ""R589"": 0.30460721025413107, ""R590"": 0.01726998616383124, ""R725"": 0.17970823936147717, ""R547"": 0.08279709820058338, ""R368"": 0.9545532792480579, ""R771"": 0.004032034489149408, ""R369"": 0.11249451100019128, ""R637"": 2.2168967849989225, ""R1090"": 0.019379597523752932, ""R594"": 0.6514144673074973, ""R775"": 0.0772750453951095, ""R190"": 0.209179158106345, ""R642"": 7.59234591154964, ""R327"": 0.015547828921996465, ""R821"": 0.0002757937459697136, ""R1604"": 0.0018260003593746118, ""R557"": 0.42993392825804827, ""R646"": 0.4299339282580482, ""R59"": 0.23015851751787528, ""R242"": 0.12662535053528357, ""R603"": 3.7686044920936985, ""R694"": 125.52207611508466, ""R781"": 0.12662535053528307, ""R337"": 0.45655958219196713, ""R650"": 0.23015851751787528, ""R153"": 0.209179158106345, ""R336"": 0.4564884506643034, ""R1059"": -0.1057917542486882, ""R154"": 0.23503915810634501, ""R248"": 0.006798676538807172, ""R1060"": -0.01953496375522898, ""R1892"": 0.23015851751787528, ""R653"": 0.23015851751787528, ""R157"": 0.3491023064797522, ""R1474"": 0.381345390426603, ""R656"": 0.23015851751787528, ""R522"": 0.3641747028152355, ""R115"": 0.0921983345603095, ""R387"": 10.0, ""R658"": 5.552969284178682, ""R1479"": 0.00021589042606686877, ""R2081"": 11.2297498844617, ""R160"": 6.300695676940342, ""R346"": 0.003122379195442829, ""R392"": 0.10085889058025034, ""xMAINTENANCE"": 7.8625}"	0.0
E1	optimal	1.8718823069402988	7.8625	[7.8625, 1000.0]	1.0*biomass_C - 1.0*biomass_C_reverse_c1d5c	"{""R1003"": -0.00489, ""R1016"": -11.57028864846642, ""R1030"": 0.16984293714211995, ""R1070"": -10.0, ""R1164"": 62.83893024562026, ""R1202"": -0.02586, ""R1204"": -0.05414, ""R1215"": -0.00859, ""R1217"": -0.03434, ""R1220"": -0.02466, ""R1222"": -0.01207, ""R1223"": -0.02727, ""R1231"": -0.07562, ""R1232"": -0.02205, ""R1233"": -0.02486, ""R1234"": -0.10765, ""R1263"": -0.0001403911730205224, ""R1268"": 0.018017965510850595, ""R1287"": -0.06648817186191147, ""R1296"": -0.1411002327049573, ""R1333"": -0.11496342087819644, ""R1354"": -0.2571254974459334, ""R1364"": -53.41056496284541, ""R1373"": 1.8718823069402988}"	"{""R544"": 0.0679287370365565, ""R723"": 0.5329230209035961, ""R1085"": -0.05776441610987069, ""R90"": 6.0561942254861805, ""R634"": 0.3594164787229537, ""R725"": 0.17970823936147684, ""R547"": 0.0827970982005833, ""R368"": 0.9545532792480569, ""R637"": 2.2168967849989265, ""R1090"": 0.03891456127898187, ""R771"": 0.004032034489149404, ""R369"": 0.11249451100019116, ""R594"": 2.490343939686837, ""R642"": 7.59234591154964, ""R775"": 0.07727504539510942, ""R190"": 0.20917915810634474, ""R821"": 0.00027579374596971334, ""R327"": 0.38630409544788336, ""R690"": 10.602468394838155, ""R557"": 0.42993392825804777, ""R646"": 0.42993392825804777, ""R1604"": 0.0033817566470095797, ""R59"": 0.23015851751788524, ""R242"": 0.10709038678005449, ""R781"": 0.10709038678005446, ""R650"": 0.23015851751788524, ""R337"": 0.45655958219196663, ""R153"": 0.20917915810634474, ""R336"": 0.4564884506643029, ""R786"": 3.9585275428381648, ""R653"": 0.23015851751788524, ""R1059"": -0.10579317234134486, ""R1474"": 0.000289435203256936, ""R656"": 0.23015851751788524, ""R154"": 0.23503915810634474, ""R248"": 0.006798676538807165, ""R157"": 0.3491023064797518, ""R522"": 0.3641747028152351, ""R658"": 5.8149847816246165, ""R115"": 0.0679287370365565, ""R387"": 10.0, ""R2081"": 23.486917680723934, ""R392"": 0.10085889058025023, ""xMAINTENANCE"": 7.8625, ""R160"": 6.300695676940323, ""R346"": 0.0031223791954428253, ""R121"": -136.99095154102386, ""R165"": 0.3491640785958809, ""R531"": 0.5147769938201169, ""R798"": 0.32341072181699626, ""R261"": -0.017269986163831196, ""R759"": 0.39411171655013133, ""R170"": 0.09226889058025023, ""R309"": 5.302197530790223, ""R625"": 0.15456319396636742, ""R127"": 0.07752577473939047, ""R400"": 6.229968578739739, ""R673"": 0.38630409544788336, ""R1630"": 0.0031524369471331616, ""biomass_C"": 1.8718823069402988, ""R129"": 1.0631149655213663, ""R628"": 0.23015851751788524, ""R493"": 0.1695288930103551}"	0.0
E2	optimal	1.871882306940297	7.8625	[7.8625, 1000.0]	1.0*biomass_C - 1.0*biomass_C_reverse_c1d5c	"{""R1003"": -0.00489, ""R1016"": -11.570288648466404, ""R1030"": 0.16984293714211596, ""R1070"": -10.0, ""R1164"": 194.46281962331713, ""R1202"": -0.02586, ""R1204"": -0.05414, ""R1215"": -0.00859, ""R1217"": -0.03434, ""R1220"": -0.02466, ""R1222"": -0.01207, ""R1223"": -0.02727, ""R1231"": -0.07562, ""R1232"": -0.02205, ""R1233"": -0.02486, ""R1234"": -0.10765, ""R1263"": -0.00014039117302052227, ""R1268"": 0.018017965510850602, ""R1287"": -0.06648817186188954, ""R1296"": -0.14110023270490046, ""R1333"": -0.11496342087819633, ""R1354"": -0.25712549744593305, ""R1364"": -53.410564962845456, ""R1373"": 1.871882306940297}"	"{""R153"": 0.20917915810634452, ""R547"": 0.08279709820058322, ""R815"": -0.2899677123161151, ""R59"": 0.2301585175178843, ""R1059"": -0.10579317234134476, ""R557"": 0.4299339282580473, ""R759"": 0.39411171655013094, ""R1474"": 1.9983724864846433, ""R1892"": 0.2301585175178843, ""R493"": 0.16952889301035493, ""R1154"": 0.013127965510850615, ""R336"": 0.4564884506643025, ""R531"": 0.5147769938201163, ""R309"": 5.0720390132723585, ""R337"": 0.45655958219196624, ""R400"": 6.229968578739757, ""R190"": 0.20917915810634452, ""R2081"": 11.229749884461723, ""R170"": 0.09226889058025015, ""xMAINTENANCE"": 7.8625, ""R369"": 0.11249451100019102, ""R522"": 0.3641747028152348, ""R88"": 12.241134967396627, ""R725"": 0.1797082393614767, ""R90"": 5.8538137439186615, ""R129"": 1.0631149655213652, ""R658"": 5.796966816113785, ""R165"": 0.34916407859588056, ""R127"": 0.07752577473939039, ""R1630"": 0.0013067370344755451, ""biomass_C"": 1.871882306940297, ""R544"": 0.06792873703655643, ""R2093"": 0.0031223791954428227, ""R160"": 6.30069567694034, ""R327"": 0.30551554123811236, ""R656"": 0.2301585175178843, ""R653"": 0.2301585175178843, ""R788"": -0.025786595768131224, ""R775"": 0.07727504539510933, ""R1085"": -0.01884985483088879, ""R248"": 0.006798676538807159, ""R368"": 0.9545532792480559, ""R625"": 0.15456319396636728, ""R628"": 0.2301585175178843, ""R650"": 0.2301585175178843, ""R781"": 0.1328769825481856, ""R154"": 0.23503915810634451, ""R673"": 0.38630409544788297, ""R723"": 0.5329230209035956, ""R1090"": 0.013127965510850615, ""R157"": 0.3491023064797515, ""R242"": 0.10709038678005439, ""R771"": 0.0040320344891494, ""R821"": 0.00027579374596971306, ""R798"": 0.3234107218169959, ""R646"": 0.4299339282580473, ""R115"": 0.07281873703655643, ""R387"": 10.0, ""R1604"": 2.0033105078410536, ""R603"": -131.1898709983981, ""R637"": 2.2168967849989163, ""R392"": 0.10085889058025015}"	0.0
E3	optimal	1.871882306940297	66.31271483490694	[7.8625, 1000.0]	1.0*biomass_C - 1.0*biomass_C_reverse_c1d5c	"{""R1003"": -0.00489, ""R1016"": -11.57028864846641, ""R1030"": 0.1698429371421195, ""R1070"": -10.0, ""R1202"": -0.02586, ""R1204"": -0.05414, ""R1215"": -0.00859, ""R1217"": -0.03434, ""R1220"": -0.02466, ""R1222"": -0.01207, ""R1223"": -0.02727, ""R1231"": -0.07562, ""R1232"": -0.02205, ""R1233"": -0.02486, ""R1234"": -0.10765, ""R1263"": -0.00014039117302052227, ""R1268"": 0.018017965510850602, ""R1287"": -0.06648817186189487, ""R1296"": -0.14110023270492889, ""R1333"": -0.11496342087819554, ""R1354"": -0.257125497445933, ""R1364"": -53.41056496284533, ""R1373"": 1.871882306940297}"	"{""R798"": 0.3234107218169959, ""R368"": 0.9545532792480559, ""R1085"": -0.03822945235464169, ""biomass_C"": 1.871882306940297, ""R2093"": 0.0031223791954428227, ""R673"": 0.38630409544788297, ""R261"": -0.01726998616383118, ""R1090"": 0.019379597523752894, ""R309"": 5.072039013272358, ""R400"": 6.0947796857294, ""R603"": 3.9607925204295586, ""R625"": 0.15456319396636728, ""R702"": 0.017269986163831203, ""R1604"": 1.969955328355093e-05, ""R90"": 6.639665159761829, ""R658"": 5.552969284178704, ""R170"": 0.09226889058025015, ""R656"": 0.23015851751788555, ""R88"": 10.352463368892424, ""R781"": 0.12662535053528323, ""R1059"": -0.10579317234134476, ""R628"": 0.23015851751788555, ""R557"": 0.4299339282580473, ""R653"": 0.23015851751788555, ""R1060"": -0.01953496375522894, ""R165"": 0.34916407859588056, ""R1474"": 0.013965866800408263, ""R392"": 0.10085889058025015, ""R1892"": 0.23015851751788555, ""R531"": 0.5147769938201163, ""R129"": 1.0631149655213652, ""R775"": 0.07727504539510933, ""R127"": 0.0775257747393896, ""R387"": 10.0, ""R160"": 6.300695676940339, ""R59"": 0.23015851751788555, ""R522"": 0.3641747028152348, ""R650"": 0.23015851751788555, ""R248"": 0.006798676538807159, ""R190"": 0.20917915810634452, ""R771"": 0.0040320344891494, ""xMAINTENANCE"": 66.31271483490694, ""R336"": 0.4564884506643025, ""R646"": 0.4299339282580473, ""R154"": 0.23503915810634451, ""R242"": 0.12662535053528323, ""R369"": 0.11249451100019105, ""R121"": -187.29030895337306, ""R493"": 0.16952889301035493, ""R153"": 0.20917915810634452, ""R337"": 0.45655958219196624, ""R334"": 16.141829411596728, ""R642"": 6.192453985604809, ""R821"": 0.00027579374596971306, ""R115"": 0.09219833456030932, ""R594"": 0.8891603672296868, ""R637"": 2.216896784998916, ""R725"": 0.17970823936147662, ""R1078"": 0.2377458999221801, ""R1630"": 0.006514494040861944, ""R327"": 0.015547828921996687, ""R723"": 0.5329230209035956, ""R157"": 0.3491023064797515, ""R547"": 0.08279709820058322, ""R544"": 0.06792873703655643, ""R589"": -0.1253281360965737, ""R759"": 0.39411171655013094}"	0.0
E4	optimal	1.8718823069403019	7.8625	[7.8625, 1000.0]	1.0*biomass_C - 1.0*biomass_C_reverse_c1d5c	"{""R1003"": -0.00489, ""R1016"": -11.570288648466374, ""R1030"": 0.16984293714212315, ""R1070"": -10.0, ""R1164"": -297.5836349448444, ""R1202"": -0.02586, ""R1204"": -0.05414, ""R1215"": -0.00859, ""R1217"": -0.03434, ""R1220"": -0.02466, ""R1222"": -0.01207, ""R1223"": -0.02727, ""R1231"": -0.07562, ""R1232"": -0.02205, ""R1233"": -0.02486, ""R1234"": -0.10765, ""R1263"": -0.00014039117302052262, ""R1268"": 0.01801796551085059, ""R1287"": -0.06648817186186512, ""R1296"": -0.1411002327049551, ""R1333"": -0.11496342087819665, ""R1354"": -0.2571254974459332, ""R1364"": -53.4105649628457, ""R1373"": 1.8718823069403019}"	"{""R165"": 0.34916407859588144, ""R121"": 18.967416846073355, ""R531"": 0.5147769938201178, ""R798"": 0.3234107218169968, ""R261"": -0.017269986163831224, ""R170"": 0.0922688905802504, ""R309"": 5.0720390132723665, ""R759"": 0.394111716550132, ""R127"": 0.07752577473939061, ""R400"": 6.2231699022009614, ""R625"": 0.15456319396636767, ""R1630"": 0.0031524369471359263, ""biomass_C"": 1.8718823069403019, ""R129"": 1.063114965521368, ""R673"": 0.38630409544788397, ""R493"": 0.16952889301035537, ""R628"": 0.23015851751787234, ""R88"": 10.243051916115258, ""R90"": 5.853813743918672, ""R544"": 0.06792873703655661, ""R723"": 0.532923020903597, ""R1085"": -0.018849854830888843, ""R589"": -0.10579317234134504, ""R725"": 0.1797082393614772, ""R547"": 0.08279709820058344, ""R368"": 0.9545532792480584, ""R815"": 134.3866063900741, ""R771"": 0.0040320344891494105, ""R369"": 0.11249451100019145, ""R637"": 2.216896784998917, ""R594"": 0.9258099509172593, ""R597"": -0.03891456127898194, ""R775"": 0.07727504539510954, ""R190"": 0.20917915810634513, ""R281"": 0.0031223791954428305, ""R642"": 7.592345911549638, ""R327"": 0.015547828921996437, ""R821"": 0.0002757937459697138, ""R1604"": 0.0033817566470095853, ""R557"": 0.4299339282580485, ""R646"": 0.4299339282580485, ""R59"": 0.23015851751787234, ""R242"": 0.10709038678005467, ""R334"": 11.229749884461693, ""R603"": 3.980172117953322, ""R694"": 6.0711031739622285, ""R781"": 0.14600494805903605, ""R337"": 0.4565595821919674, ""R650"": 0.23015851751787234, ""R153"": 0.20917915810634513, ""R336"": 0.45648845066430366, ""R1059"": -0.10579317234134504, ""R154"": 0.23503915810634515, ""R248"": 0.006798676538807176, ""R1892"": 0.23015851751787234, ""R653"": 0.23015851751787234, ""R157"": 0.34910230647975243, ""R788"": -0.03891456127898194, ""R1474"": 0.00028943520325941076, ""R656"": 0.23015851751787234, ""R522"": 0.36417470281523573, ""R115"": 0.0728187370365566, ""R387"": 10.0, ""R658"": 5.552969284178687, ""R160"": 6.300695676940352, ""R392"": 0.1008588905802504, ""xMAINTENANCE"": 7.8625}"	0.0
E5	optimal	1.429177892279185	7.8625	[7.8625, 1000.0]	1.0*biomass_C - 1.0*biomass_C_reverse_c1d5c	"{""R1003"": -0.00489, ""R1016"": -8.701216075792553, ""R1030"": 14.859558739159919, ""R1070"": -10.0, ""R1164"": 81.95798401472166, ""R1202"": -0.02586, ""R1204"": -0.05414, ""R1215"": -0.00859, ""R1217"": -0.03434, ""R1220"": -0.02466, ""R1222"": -0.01207, ""R1223"": -0.02727, ""R1231"": -0.07562, ""R1232"": -0.02205, ""R1233"": -0.02486, ""R1234"": -0.10765, ""R1263"": -0.00010718834192093886, ""R1268"": 0.018971550820030637, ""R1287"": -14.825076926909974, ""R1296"": -0.10772970738044961, ""R1333"": -0.08491972848163461, ""R1354"": -0.19631473363925514, ""R1364"": -26.27503122272328, ""R1373"": 1.429177892279185}"	"{""R165"": 0.26658598142472867, ""R121"": 6.074194612127778, ""R531"": 0.39303106626623724, ""R798"": 0.24692335198275162, ""R261"": -0.01318559523416776, ""R170"": 0.06841553401389476, ""R759"": 0.3009034009741364, ""R127"": 0.05633617063605091, ""R400"": 0.3203783259662931, ""R625"": 0.11800864774338458, ""R1630"": 0.00476785885618361, ""biomass_C"": 1.429177892279185, ""R129"": 0.8116858629631479, ""R673"": 0.29494229998543997, ""R493"": 0.12943492499215664, ""R628"": 0.17456900957773336, ""R90"": 0.05114539653129291, ""R544"": 0.05186343653291933, ""R723"": 0.40688551675399165, ""R1085"": -0.014391821375251393, ""R589"": -0.08077284693794269, ""R1132"": 0.002383929428091805, ""R725"": 0.1248779694924539, ""R547"": 0.0632153965312929, ""R368"": 0.7287992619225244, ""R815"": 53.45219393565849, ""R771"": 0.0030784491799693645, ""R369"": 0.0858893037923022, ""R637"": 6.716249135724095, ""R594"": 0.4941654165154794, ""R597"": -0.02971117920259198, ""R775"": 0.05899932174906931, ""R190"": 0.1535918636882513, ""R642"": 13.199775459152368, ""R327"": 0.29494229998543997, ""R557"": 0.3282535782986831, ""R646"": 0.3282535782986831, ""R59"": 0.17456900957773336, ""R242"": 0.08176326721729216, ""R694"": 12.001701332418941, ""R781"": 0.11147444641988435, ""R337"": 0.34858220463846235, ""R650"": 0.17456900957773336, ""R153"": 0.1535918636882513, ""R336"": 0.3485278958785557, ""R786"": 3.233960884784047, ""R1059"": -0.08077284693794269, ""R154"": 0.1794518636882513, ""R248"": 0.005190774104758, ""R653"": 0.17456900957773336, ""R157"": 0.2665388185542834, ""R788"": -0.02971117920259198, ""R656"": 0.17456900957773336, ""R522"": 0.2780465589429154, ""R702"": 0.014391821375251393, ""R115"": 0.05675343653291933, ""R387"": 10.0, ""R658"": 0.26195609441165785, ""R2081"": 2.246600672712239, ""R160"": 0.37152372249758603, ""R392"": 0.07700553401389476, ""xMAINTENANCE"": 7.8625}"	0.0
