met_id,raw_name,formula,charge,compartment,clean_name,embedded_formula,is_dirty,base_id
m332_x,L-glutamate_C5H9NO4,,0,x,L-glutamate,C5H9NO4,False,m332
m333_x,oxaloacetate_C4H4O5,,0,x,oxaloacetate,C4H4O5,False,m333
m334_c,L-aspartate 4-semialdehyde_C4H7NO3,,0,c,L-aspartate 4-semialdehyde,C4H7NO3,False,m334
m335_c,tRNA(Asp)_ActiveX VT_ERROR:,,0,c,tRNA(Asp),,True,m335
m336_c,Asp-tRNA(Asp)_C14H22NO13PR2(C5H8O6PR)n,,0,c,Asp-tRNA(Asp)_C14H22NO13PR2(C5H8O6PR)n,,False,m336
m337_m,"tRNA(Asp), mitchondrial_",,0,m,"tRNA(Asp), mitchondrial",,False,m337
m338_m,Asp-tRNA(Asp)_C14H22NO13PR2(C5H8O6PR)n,,0,m,Asp-tRNA(Asp)_C14H22NO13PR2(C5H8O6PR)n,,False,m338
m339_c,"P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate_ActiveX VT_ERROR:",,0,c,"P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate",,True,m339
m340_c,"P(1),P(4)-bis(5'-guanosyl) tetraphosphate_",,0,c,"P(1),P(4)-bis(5'-guanosyl) tetraphosphate",,False,m340
m341_c,5-phosphoribosyl-ATP_C15H19N5O20P4,,0,c,5-phosphoribosyl-ATP,C15H19N5O20P4,False,m341
m342_e,H+_p+1,,0,e,H+_p+1,,False,m342
m343_c,GDP-alpha-D-mannose_C16H23N5O16P2,,0,c,GDP-alpha-D-mannose,C16H23N5O16P2,False,m343
m344_c,"N,N'-diacetylchitobiosyldiphosphodolichol_",,0,c,"N,N'-diacetylchitobiosyldiphosphodolichol",,False,m344
m345_c,beta-D-mannosyldiacetylchitobiosyldiphosphodolichol_C37H66N2O22P2,,0,c,beta-D-mannosyldiacetylchitobiosyldiphosphodolichol,C37H66N2O22P2,False,m345
m346_c,dethiobiotin_C10H18N2O3,,0,c,dethiobiotin,C10H18N2O3,False,m346
m347_c,polysulphur_S,,0,c,polysulphur_S,,False,m347
m348_c,biotin_C10H16N2O3S,,0,c,biotin,C10H16N2O3S,False,m348
m349_c,biotinyl-5'-AMP_C20H27N7O9PS,,0,c,biotinyl-5'-AMP,C20H27N7O9PS,False,m349
m350_c,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol_C29H46O",,0,c,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",C29H46O,False,m350
m351_c,14-demethyllanosterol_C29H48O,,0,c,14-demethyllanosterol,C29H48O,False,m351
m352_c,"ergosta-5,7,24(28)-trien-3beta-ol_C28H44O",,0,c,"ergosta-5,7,24(28)-trien-3beta-ol",C28H44O,False,m352
m353_c,"ergosta-5,7,22,24(28)-tetraen-3beta-ol_C28H42O",,0,c,"ergosta-5,7,22,24(28)-tetraen-3beta-ol",C28H42O,False,m353
m354_c,zymosterol intermediate 1c_C29H46O2,,0,c,zymosterol intermediate 1c,C29H46O2,False,m354
m355_c,zymosterol intermediate 2_C27H42O,,0,c,zymosterol intermediate 2,C27H42O,False,m355
m356_c,4beta-methylzymosterol-4alpha-carboxylic acid_C29H46O3,,0,c,4beta-methylzymosterol-4alpha-carboxylic acid,C29H46O3,False,m356
m357_c,3-dehydro-4-methylzymosterol_C28H44O,,0,c,3-dehydro-4-methylzymosterol,C28H44O,False,m357
m358_c,4alpha-methylzymosterol_C28H46O,,0,c,4alpha-methylzymosterol,C28H46O,False,m358
m359_c,zymosterol_C27H44O,,0,c,zymosterol,C27H44O,False,m359
m360_c,zymosterol intermediate 1a_C28H46O2,,0,c,zymosterol intermediate 1a,C28H46O2,False,m360
m361_c,zymosterol intermediate 1b_C28H44O2,,0,c,zymosterol intermediate 1b,C28H44O2,False,m361
m362_c,episterol_C28H46O,,0,c,episterol,C28H46O,False,m362
m363_c,fecosterol_C28H46O,,0,c,fecosterol,C28H46O,False,m363
m364_r,"ergosta-5,7,22,24(28)-tetraen-3beta-ol_C28H42O",,0,r,"ergosta-5,7,22,24(28)-tetraen-3beta-ol",C28H42O,False,m364
m365_r,ergosterol_C28H44O,,0,r,ergosterol,C28H44O,False,m365
m366_c,4-hydroxybenzoate_C7H6O3,,0,c,4-hydroxybenzoate,C7H6O3,False,m366
m367_c,nonaprenyl diphosphate_C45H76O7P2,,0,c,nonaprenyl diphosphate,C45H76O7P2,False,m367
m368_c,nonaprenyl 4-hydroxybenzoate_,,0,c,nonaprenyl 4-hydroxybenzoate,,False,m368
m369_c,(R)-carnitine_C7H15NO3,,0,c,(R)-carnitine,C7H15NO3,False,m369
m370_c,O-acetylcarnitine_C9H17NO4,,0,c,O-acetylcarnitine,C9H17NO4,False,m370
m371_x,(R)-carnitine_C7H15NO3,,0,x,(R)-carnitine,C7H15NO3,False,m371
m372_x,O-acetylcarnitine_C9H17NO4,,0,x,O-acetylcarnitine,C9H17NO4,False,m372
m373_m,O-acetylcarnitine_C9H17NO4,,0,m,O-acetylcarnitine,C9H17NO4,False,m373
m374_m,(R)-carnitine_C7H15NO3,,0,m,(R)-carnitine,C7H15NO3,False,m374
m375_x,H2O_H2O,,0,x,H2O,H2O,False,m375
m376_em,CTP_C9H16N3O14P3,,0,em,CTP,C9H16N3O14P3,False,m376
m377_em,H+_p+1,,0,em,H+_p+1,,False,m377
m378_em,phosphatidate_ActiveX VT_ERROR:,,0,em,phosphatidate,,True,m378
m379_em,CDP-diacylglycerol_,,0,em,CDP-diacylglycerol,,False,m379
m380_em,diphosphate_H4O7P2,,0,em,diphosphate,H4O7P2,False,m380
m381_mm,CTP_C9H16N3O14P3,,0,mm,CTP,C9H16N3O14P3,False,m381
m382_mm,H+_p+1,,0,mm,H+_p+1,,False,m382
m383_mm,phosphatidate_ActiveX VT_ERROR:,,0,mm,phosphatidate,,True,m383
m384_mm,CDP-diacylglycerol_,,0,mm,CDP-diacylglycerol,,False,m384
m385_mm,diphosphate_H4O7P2,,0,mm,diphosphate,H4O7P2,False,m385
m386_r,ceramide-1-(C24)_,,0,r,ceramide-1-(C24),,False,m386
m387_r,oxygen_O2,,0,r,oxygen,O2,False,m387
m388_r,ceramide-2-(C24)_,,0,r,ceramide-2-(C24),,False,m388
m389_r,H2O_H2O,,0,r,H2O,H2O,False,m389
m390_r,ceramide-2'-(C24)_,,0,r,ceramide-2'-(C24),,False,m390
m391_r,ceramide-1-(C26)_,,0,r,ceramide-1-(C26),,False,m391
m392_r,ceramide-2-(C26)_,,0,r,ceramide-2-(C26),,False,m392
m393_r,ceramide-2'-(C26)_,,0,r,ceramide-2'-(C26),,False,m393
m394_r,tetracosanoyl-CoA_C45H82N7O17P3S,,0,r,tetracosanoyl-CoA,C45H82N7O17P3S,False,m394
m395_r,hexacosanoyl-CoA_C47H86N7O17P3S,,0,r,hexacosanoyl-CoA,C47H86N7O17P3S,False,m395
m396_r,phytosphingosine_C18H39NO3,,0,r,phytosphingosine,C18H39NO3,False,m396
m397_r,ceramide-3-(C24)_,,0,r,ceramide-3-(C24),,False,m397
m398_r,ceramide-3-(C26)_,,0,r,ceramide-3-(C26),,False,m398
m399_r,ceramide-4-(C24)_,,0,r,ceramide-4-(C24),,False,m399
m400_r,ceramide-4-(C26)_,,0,r,ceramide-4-(C26),,False,m400
m401_c,chitin_H2O(C8H13NO5)n,,0,c,chitin_H2O(C8H13NO5)n,,False,m401
m402_ce,chitosan_H2O(C6H12NO4)n,,0,ce,chitosan_H2O(C6H12NO4)n,,False,m402
m403_c,UDP-N-acetyl-alpha-D-glucosamine_C17H25N3O17P2,,0,c,UDP-N-acetyl-alpha-D-glucosamine,C17H25N3O17P2,False,m403
m404_c,choline_C5H14NO,,0,c,choline,C5H14NO,False,m404
m405_c,choline phosphate_C5H14NO4P,,0,c,choline phosphate,C5H14NO4P,False,m405
m406_c,CTP_C9H16N3O14P3,,0,c,CTP,C9H16N3O14P3,False,m406
m407_c,CDP-choline_C14H26N4O11P2,,0,c,CDP-choline,C14H26N4O11P2,False,m407
m408_c,prephenate_C10H10O6,,0,c,prephenate,C10H10O6,False,m408
m409_m,cis-aconitate_C6H6O6,,0,m,cis-aconitate,C6H6O6,False,m409
m410_m,isocitrate_C6H8O7,,0,m,isocitrate,C6H8O7,False,m410
m411_l,farnesyl diphosphate_C15H25O7P2,,0,l,farnesyl diphosphate,C15H25O7P2,False,m411
m412_l,isopentenyl diphosphate_C5H12O7P2,,0,l,isopentenyl diphosphate,C5H12O7P2,False,m412
m413_l,diphosphate_H4O7P2,,0,l,diphosphate,H4O7P2,False,m413
m414_l,geranylgeranyl diphosphate_C20H36O7P2,,0,l,geranylgeranyl diphosphate,C20H36O7P2,False,m414
m415_l,pentaprenyl diphosphate_C25H44O7P2,,0,l,pentaprenyl diphosphate,C25H44O7P2,False,m415
m416_l,hexaprenyl diphosphate_C30H52O7P2,,0,l,hexaprenyl diphosphate,C30H52O7P2,False,m416
m417_l,heptaprenyl diphosphate_C35H60O7P2,,0,l,heptaprenyl diphosphate,C35H60O7P2,False,m417
m418_l,octaprenyl diphosphate_C40H68O7P2,,0,l,octaprenyl diphosphate,C40H68O7P2,False,m418
m419_l,nonaprenyl diphosphate_C45H76O7P2,,0,l,nonaprenyl diphosphate,C45H76O7P2,False,m419
m420_l,decaprenyl diphosphate_C50H84O7P2,,0,l,decaprenyl diphosphate,C50H84O7P2,False,m420
m421_l,undecaprenyl diphosphate_C55H92O7P2,,0,l,undecaprenyl diphosphate,C55H92O7P2,False,m421
m422_l,dodecaprenyl diphosphate_C60H100O7P2,,0,l,dodecaprenyl diphosphate,C60H100O7P2,False,m422
m423_l,tridecaprenyl diphosphate_C65H108O7P2,,0,l,tridecaprenyl diphosphate,C65H108O7P2,False,m423
m424_l,tetradecaprenyl diphosphate_C70H116O7P2,,0,l,tetradecaprenyl diphosphate,C70H116O7P2,False,m424
m425_l,pentadecaprenyl diphosphate_C75H124O7P2,,0,l,pentadecaprenyl diphosphate,C75H124O7P2,False,m425
m426_l,hexadecaprenyl diphosphate_C80H132O7P2,,0,l,hexadecaprenyl diphosphate,C80H132O7P2,False,m426
m427_l,heptadecaprenyl diphosphate_C85H140O7P2,,0,l,heptadecaprenyl diphosphate,C85H140O7P2,False,m427
m428_l,octadecaprenyl diphosphate_C90H148O7P2,,0,l,octadecaprenyl diphosphate,C90H148O7P2,False,m428
m429_l,nonadecaprenyl diphosphate_C95H156O7P2,,0,l,nonadecaprenyl diphosphate,C95H156O7P2,False,m429
m430_l,icosaprenyl diphosphate_C100H164O7P2,,0,l,icosaprenyl diphosphate,C100H164O7P2,False,m430
m431_l,henicosaprenyl diphosphate_C105H172O7P2,,0,l,henicosaprenyl diphosphate,C105H172O7P2,False,m431
m432_l,docosaprenyl diphosphate_C110H180O7P2,,0,l,docosaprenyl diphosphate,C110H180O7P2,False,m432
m433_m,citrate_C6H8O7,,0,m,citrate,C6H8O7,False,m433
m434_x,citrate_C6H8O7,,0,x,citrate,C6H8O7,False,m434
m435_c,citrate_C6H8O7,,0,c,citrate,C6H8O7,False,m435
m436_c,cis-aconitate_C6H6O6,,0,c,cis-aconitate,C6H6O6,False,m436
m437_c,coproporphyrinogen III_C36H40N4O8,,0,c,coproporphyrinogen III,C36H40N4O8,False,m437
m438_c,protoporphyrinogen_C34H40N4O4,,0,c,protoporphyrinogen,C34H40N4O4,False,m438
m439_c,UTP_C9H15N2O15P3,,0,c,UTP,C9H15N2O15P3,False,m439
m440_c,L-cystathionine_C7H14N2O4S,,0,c,L-cystathionine,C7H14N2O4S,False,m440
m441_c,L-serine_C3H7NO3,,0,c,L-serine,C3H7NO3,False,m441
m442_c,2-oxobutanoate_C4H6O3,,0,c,2-oxobutanoate,C4H6O3,False,m442
m443_c,L-cysteine_C3H7NO2S,,0,c,L-cysteine,C3H7NO2S,False,m443
m444_c,O-acetyl-L-homoserine_C6H11NO4,,0,c,O-acetyl-L-homoserine,C6H11NO4,False,m444
m445_c,hydrogen sulfide_HS,,0,c,hydrogen sulfide,HS,False,m445
m446_c,O-acetyl-L-serine_C5H9NO4,,0,c,O-acetyl-L-serine,C5H9NO4,False,m446
m447_c,tRNA(Cys)_ActiveX VT_ERROR:,,0,c,tRNA(Cys),,True,m447
m448_c,Cys-tRNA(Cys)_C18H26N6O11PSR(C5H8O6PR)n,,0,c,Cys-tRNA(Cys)_C18H26N6O11PSR(C5H8O6PR)n,,False,m448
m449_c,lanosterol_C30H50O,,0,c,lanosterol,C30H50O,False,m449
m450_c,cytosine_C4H5N3O,,0,c,cytosine,C4H5N3O,False,m450
m451_c,uracil_C4H4N2O2,,0,c,uracil,C4H4N2O2,False,m451
m452_c,"D-arabinono-1,4-lactone_C5H8O5",,0,c,"D-arabinono-1,4-lactone",C5H8O5,False,m452
m453_c,"dehydro-D-arabinono-1,4-lactone_C5H5O5",,0,c,"dehydro-D-arabinono-1,4-lactone",C5H5O5,False,m453
m454_c,D-arabinose_C5H10O5,,0,c,D-arabinose,C5H10O5,False,m454
m455_c,D-fructose 1-phosphate_C6H13O9P,,0,c,D-fructose 1-phosphate,C6H13O9P,False,m455
m456_c,dihydroxyacetone phosphate_C3H5O6P,,0,c,dihydroxyacetone phosphate,C3H5O6P,False,m456
m457_c,D-glucitol_C6H14O6,,0,c,D-glucitol,C6H14O6,False,m457
