base_id,name,bigg_id,kegg_id,formula,charge,confidence
m79,2-Methylcitrate,2mcit,,C7H7O7,-3.0,database
m80,(2S)-2-isopropyl-3-oxosuccinate,2ip3os,,C7H8O5,-2.0,database
m81,4-Methyl-2-oxopentanoate,4mop,,C6H9O3,0.0,database
m82,Carbon monoxide,co,,CO,0.0,database
m83,(2S)-2-isopropyl-3-oxosuccinate,2ip3os,,C7H8O5,-2.0,database
m84,4-Methyl-2-oxopentanoate,4mop,,C6H9O3,0.0,database
m85,"Adenosine 3',5'-bisphosphate",pap,,C10H11N5O10P2,0.0,database
m86,AMP C10H12N5O7P,amp,,C10H12N5O7P,-2.0,database
m87,"2',3'-Cyclic AMP",23camp,,C10H11N5O6P,-1.0,database
m88,"3',5'-Cyclic GMP",35cgmp,,C10H10N5O7P,-1.0,database
m89,DAMP C10H12N5O6P,damp,,C10H12N5O6P,-2.0,database
m90,"3',5'-Cyclic GMP",35cgmp,,C10H10N5O7P,-1.0,database
m91,IMP C10H11N4O8P,imp,,C10H11N4O8P,-2.0,database
m92,"3',5'-Cyclic GMP",35cgmp,,C10H10N5O7P,-1.0,database
m93,GMP C10H12N5O8P,gmp,,C10H12N5O8P,-2.0,database
m94,"2',3'-Cyclic CMP",23ccmp,,C9H11N3O7P,-1.0,database
m95,CMP C9H12N3O8P,cmp,,C9H12N3O8P,-2.0,database
m96,D-Ribulose 5-phosphate,ru5p__D,,C5H9O8P,-2.0,database
m97,2-Oxo-3-hydroxy-4-phosphobutanoate,ohpb,,C4H4O8P,-3.0,database
m98,3-Dehydroquinate,3dhq,,C7H9O6,-1.0,database
m99,3-Dehydroshikimate,3dhsk,,C7H7O5,-1.0,database
m100,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,2dda7p,,C7H10O10P,-3.0,database
m101,3 Dehydrosphinganine C18H38NO2,3dsphgn,,C18H38NO2,1.0,database
m102,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m103,Nicotinamide adenine dinucleotide phosphate - reduced,nadph,,C21H26N7O17P3,0.0,database
m104,Nicotinamide adenine dinucleotide phosphate,nadp,,C21H25N7O17P3,0.0,database
m105,Sphinganine C18H40NO2,sphgn,,C18H40NO2,1.0,database
m106,D-Erythrose 4-phosphate,e4p,,C4H7O7P,-2.0,database
m107,Phosphoenolpyruvate,pep,,C3H2O6P,-3.0,database
m108,3 Hexaprenyl 4 hydroxybenzoate C37H53O3,3ophb_5,,C37H53O3,-1.0,database
m109,Oxypurinol,oxyp,,C5H4N4O2,0.0,database
m110,3 Hexaprenyl 4 5 dihydroxybenzoate C37H53O4,3dh5hpb,,C37H53O4,-1.0,database
m111,3 Hexaprenyl 4 hydroxy 5 methoxybenzoate C38H55O4,3hph5mb,,C38H55O4,-1.0,database
m112,3 Hydroxy L kynurenine C10H12N2O4,hLkynr,,C10H12N2O4,0.0,database
m113,3 Hydroxyanthranilate C7H7NO3,3hanthrn,,C7H7NO3,0.0,database
m114,L-Alanine,ala__L,,C3H7NO2,0.0,database
m115,(R)-3-hydroxytetradecanoyl-CoA,,,,,unmatched
m116,Nicotinamide adenine dinucleotide,nad,,C21H26N7O14P2,0.0,database
m117,3-Oxotetradecanoyl-CoA,3otdcoa,,C35H56N7O18P3S,-4.0,database
m118,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
