base_id,name,bigg_id,kegg_id,formula,charge,confidence
m345,Beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol,mpdol,C05860,C117H192N2O22P2,-2.0,database
m346,Dethiobiotin,dtbt,C01909,C10H17N2O3,0.0,database
m347,Polypeptide,polypep,,C2818H4386N764O792S12,2.0,database
m348,Biotin,btn,C00120,C10H15N2O3S,-1.0,database
m349,Biotinyl 5  AMP C20H27N7O9PS,btamp,C05921,C20H27N7O9PS,-1.0,database
m350,"4,4-Dimethyl-5Alpha-Cholesta-8,14-Dien-3Beta-Ol",M00942,C11455,C29H48O,0.0,database
m351,"Desmosterol; 3beta-cholesta-5,24-dien-3-ol",dsmsterol,C05108,C27H44O,0.0,database
m352,Ergosta 5 7 22 24  28  tetraen 3beta ol C28H42O,ergtetrol,C01694,C28H42O,0.0,database
m353,Ergosta 5 7 22 24  28  tetraen 3beta ol C28H42O,ergtetrol,C05440,C28H42O,0.0,database
m354,Zymosterol intermediate 1 C28H44O3,zym_int1,C22118,C28H44O3,0.0,database
m355,Zymosterol intermediate 2 C27H42O,zym_int2,C05107,C27H42O,0.0,database
m356,4Alpha-Methylzymosterol,HC02110,C14607,C28H46O,0.0,database
m357,4Alpha-Methylzymosterol,HC02110,C01694,C28H46O,0.0,database
m358,4Alpha-Methylzymosterol,HC02110,C05103,C28H46O,0.0,database
m359,Zymosterol C27H44O,zymst,C05103,C27H44O,0.0,database
m360,Zymosterol intermediate 1 C28H44O3,zym_int1,C04416,C28H44O3,0.0,database
m361,Zymosterol intermediate 1 C28H44O3,zym_int1,C08211,C28H44O3,0.0,database
m362,Episterol C28H46O,epist,C15777,C28H46O,0.0,database
m363,Fecosterol C28H46O,fecost,C04525,C28H46O,0.0,database
m364,Ergosta 5 7 22 24  28  tetraen 3beta ol C28H42O,ergtetrol,C05440,C28H42O,0.0,database
m365,Ergosterol C28H44O,ergst,C01694,C28H44O,0.0,database
m366,4-Hydroxybenzoate,4hbz,C00156,C7H5O3,-1.0,database
m367,All-trans-Nonaprenyl diphosphate,npdp,C04145,C45H73O7P2,-3.0,database
m368,3-Nonaprenyl-4-hydroxybenzoate,3nphb,C03885,C52H77O3,0.0,database
m369,L-Carnitine,crn,C00318,C7H15NO3,0.0,database
m370,O Acetylcarnitine C9H17NO4,acrn,C02571,C9H17NO4,0.0,database
m371,L-Carnitine,crn,C00318,C7H15NO3,0.0,database
m372,O Acetylcarnitine C9H17NO4,acrn,C02571,C9H17NO4,0.0,database
m373,O Acetylcarnitine C9H17NO4,acrn,C02571,C9H17NO4,0.0,database
m374,L-Carnitine,crn,C00318,C7H15NO3,0.0,database
m375,H2O H2O,h2o,C00001,H2O,0.0,database
m376,CTP C9H12N3O14P3,ctp,C00063,C9H12N3O14P3,-4.0,database
m377,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m378,phosphatidate,,,,,unmatched
m379,CDP-diacylglycerol,cdpdag_MRSA,C00269,C62H114N5O26P3,-2.0,database
m380,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m381,CTP C9H12N3O14P3,ctp,C00063,C9H12N3O14P3,-4.0,database
m382,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m383,phosphatidate,,,,,unmatched
m384,CDP-diacylglycerol,cdpdag_MRSA,C00269,C62H114N5O26P3,-2.0,database
m385,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m386,Ceramide 1-phosphate,crmp_hs,,C18H35NO5PRCO,-2.0,database
m387,Oxypurinol,oxyp,C00007,C5H4N4O2,0.0,database
m388,Ceramide 1-phosphate(2-),crmp_cho,,C18H35NO5PRCO,-2.0,database
m389,H2O H2O,h2o,C00001,H2O,0.0,database
m390,Ceramide 1-phosphate(2-),crmp_cho,,C18H35NO5PRCO,-2.0,database
m391,Ceramide 1-phosphate,crmp_hs,,C18H35NO5PRCO,-2.0,database
m392,Ceramide 1-phosphate(2-),crmp_cho,,C18H35NO5PRCO,-2.0,database
m393,Ceramide 1-phosphate(2-),crmp_cho,,C18H35NO5PRCO,-2.0,database
m394,3-oxo-tetracosanoyl-CoA,3ottccoa,C16529,C45H76N7O18P3S,-4.0,database
m395,Hexacosanoyl-CoA,hexcoa,C21932,C27H41N7O16P3S,,database
m396,Phytosphingosine,phsphings,C12144,C18H40NO3,1.0,database
m397,Trihexosyl ceramide,thcrm_cho,,C36H66NO17RCO,0.0,database
m398,Trihexosyl ceramide,thcrm_cho,,C36H66NO17RCO,0.0,database
m399,Trihexosyl ceramide,thcrm_cho,,C36H66NO17RCO,0.0,database
m400,Trihexosyl ceramide,thcrm_cho,,C36H66NO17RCO,0.0,database
m401,Chitin  monomer  C8H13NO5,chitin,,C8H13NO5,0.0,database
m402,Chitosan C6H11NO4,chitos,,C6H11NO4,0.0,database
m403,UDP-N-acetyl-D-glucosamine,uacgam,C00043,C17H25N3O17P2,-2.0,database
m404,Choline C5H14NO,chol,C00114,C5H14NO,1.0,database
m405,Choline phosphate C5H13NO4P,cholp,C00588,C5H13NO4P,-1.0,database
m406,CTP C9H12N3O14P3,ctp,C00063,C9H12N3O14P3,-4.0,database
m407,Choline C5H14NO,chol,C00307,C5H14NO,1.0,database
m408,Prephenate,pphn,C00254,C10H8O6,-2.0,database
m409,Cis-Aconitate,acon_C,C00417,C6H3O6,-3.0,database
m410,Isocitrate,icit,C00311,C6H5O7,-3.0,database
m411,Farnesyl diphosphate,frdp,C00448,C15H25O7P2,-3.0,database
m412,Isopentenyl diphosphate,ipdp,C00129,C5H9O7P2,-3.0,database
m413,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m414,Geranyl diphosphate,grdp,C00353,C10H17O7P2,-3.0,database
m415,Undecaprenyl diphosphate,udcpdp,C04217,C55H89O7P2,-3.0,database
m416,Undecaprenyl diphosphate,udcpdp,C01230,C55H89O7P2,-3.0,database
m417,All-trans-Heptaprenyl diphosphate,hepdp,C04216,C35H57O7P2,-3.0,database
m418,All-trans-Octaprenyl diphosphate,octdp,C04146,C40H65O7P2,-3.0,database
m419,All-trans-Nonaprenyl diphosphate,npdp,C04145,C45H73O7P2,-3.0,database
m420,"(E,E,E,E,E,E,E,Z,Z) Decaprenyl diphosphate",decdp_tb,C04509,C50H81O7P2,,database
m421,Undecaprenyl diphosphate,udcpdp,C04574,C55H89O7P2,-3.0,database
m422,Dodecaprenyldiphosphate,ddcpdp,,C60H97O7P2,-3.0,database
m423,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m424,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m425,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m426,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m427,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m428,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m429,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m430,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m431,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m432,Undecaprenyl diphosphate,udcpdp,,C55H89O7P2,-3.0,database
m433,Citrate,cit,C00158,C6H5O7,-3.0,database
m434,Citrate,cit,C00158,C6H5O7,-3.0,database
m435,Citrate,cit,C00158,C6H5O7,-3.0,database
m436,Cis-Aconitate,acon_C,C00417,C6H3O6,-3.0,database
m437,Coproporphyrinogen III,cpppg3,C03263,C36H40N4O8,-4.0,database
m438,Protoporphyrinogen IX,pppg9,C01079,C34H38N4O4,-2.0,database
m439,UTP C9H11N2O15P3,utp,C00075,C9H11N2O15P3,-4.0,database
m440,L-Cystathionine,cyst__L,C02291,C6H12N2O4S2,0.0,database
m441,L-Serine,ser__L,C00065,C3H7NO3,0.0,database
m442,2-Oxobutanoate,2obut,C00109,C4H5O3,-1.0,database
m443,L-Cysteine,cys__L,C00097,C3H7NO2S,0.0,database
m444,O Acetyl L homoserine C6H11NO4,achms,C01077,C6H11NO4,0.0,database
m445,Hydrogen sulfide,h2s,C00283,HS,0.0,database
m446,O-Acetyl-L-serine,acser,C00979,C5H9NO4,0.0,database
m447,tRNA(Cys),,,,,unmatched
m448,cysteinyl-tRNA(Cys),cystrna,,,,high
m449,Lanosterol C30H50O,lanost,C01724,C30H50O,0.0,database
m450,Cytosine,csn,C00380,C4H5N3O,0.0,database
m451,Uracil,ura,C00106,C4H4N2O2,0.0,database
m452,"L-arabinono-1,4-lactone",Lara14lac,C00039,C5H8O5,,database
m453,"L-arabinono-1,4-lactone",Lara14lac,,C5H8O5,,database
m454,L-Arabinose,arab__L,C00216,C5H10O5,0.0,database
m455,D-Fructose 1-phosphate,f1p,C01094,C6H11O9P,-2.0,database
m456,Dihydroxyacetone phosphate,dhap,C00111,C3H5O6P,-2.0,database
m457,D-Glutamate,glu__D,C00794,C5H8NO4,-1.0,database
m458,D-Fructose,fru,C00085,C6H12O6,0.0,database
m459,DCMP C9H12N3O7P,dcmp,C00239,C9H12N3O7P,-2.0,database
m460,DUMP C9H11N2O8P,dump,C00365,C9H11N2O8P,-2.0,database
m461,DCTP C9H12N3O13P3,dctp,C00458,C9H12N3O13P3,-4.0,database
m462,DUTP C9H11N2O14P3,dutp,C00460,C9H11N2O14P3,-4.0,database
m463,Deoxycytidine,dcyt,C00239,C9H13N3O4,0.0,database
m464,Deoxyuridine,duri,C00365,C9H12N2O5,0.0,database
m465,DGMP C10H12N5O7P,dgmp,C00362,C10H12N5O7P,-2.0,database
m466,DGDP C10H12N5O10P2,dgdp,C00361,C10H12N5O10P2,-3.0,database
m467,Spermidine,spmd,C00315,C7H22N3,3.0,database
m468,Ubiquinone,q,C17568,C14H18O4,,database
m469,4-Aminobutanal,4abutn,C00555,C4H10NO,0.0,database
m470,Trimethylamine,tma,C00986,C3H10N,1.0,database
m471,Ubiquinol,qh2,,C14H20O4,,database
m472,2-deoxy-D-ribose,,,,,unmatched
m473,2-Deoxy-D-ribose 5-phosphate,2dr5p,C00673,C5H9O7P,-2.0,database
m474,2-Deoxy-D-ribose 1-phosphate,2dr1p,,C5H9O7P,-2.0,database
m475,Dephospho-CoA,dpcoa,C00882,C21H33N7O13P2S,-2.0,database
m476,Lignoceric acid,lgnc,C08320,C24H47O2,-1.0,database
m477,M-Cresotic acid,mcres,C21931,C26H52O2,-1.0,database
m478,"2,3-dihydroxicinnamic acid",dhcinnm,C00415,C9H7O4,-1.0,database
m479,"5,6,7,8-Tetrahydrofolate",thf,C00101,C19H21N7O6,-2.0,database
m480,"2,3-dihydroxicinnamic acid",dhcinnm,C00415,C9H7O4,-1.0,database
m481,"7,8-dihydropteroate",,,,,unmatched
m482,Dihydroneopterin,HC01361,C04874,C9H13N5O4,0.0,database
m483,Glycolaldehyde,gcald,C00266,C2H4O2,0.0,database
m484,Dihydroneopterin monophosphate,dhpmp,C05925,C9H12N5O7P,-2.0,database
m485,(S)-Dihydroorotate,dhor__S,C00337,C5H5N2O4,-1.0,database
m486,4-Aminobenzoate,4abz,C00568,C7H6NO2,-1.0,database
m487,"7,8-dihydropteroate",,,,,unmatched
m488,"(R)-2,3-Dihydroxy-3-methylpentanoate",23dhmp,C00418,C6H11O4,-1.0,database
m489,(S)-3-Methyl-2-oxopentanoate,3mop,C00671,C6H9O3,0.0,database
m490,Glycerol,glyc,C00111,C3H8O3,0.0,database
m491,Isopentenyl diphosphate,ipdp,C00129,C5H9O7P2,-3.0,database
m492,Diphosphate,ppi,C00235,HO7P2,-3.0,database
m493,Geranyl diphosphate,grdp,C00341,C10H17O7P2,-3.0,database
m494,3-Phospho-D-glycerate,3pg,,C3H4O7P,-3.0,database
m495,"Cyclic 2,3-bisphospho-D-glycerate",cdpg,,C12H21N3O13P2,0.0,database
m496,"myo-inositol 1,3,4,5,6-pentakisphosphate",,,,,unmatched
m497,2  3 Carboxy 3 aminopropyl  L histidine C10H16N4O4,caphis,C22025,C10H16N4O4,0.0,database
m498,2 3 Carboxy 3  methylammonio propyl L histidine C11H18N4O4,cmaphis,C04692,C11H18N4O4,0.0,database
m499,Dolichol C15H28O,dolichol,C00110,C95H156O,0.0,database
m500,CDP C9H12N3O11P2,cdp,C00112,C9H12N3O11P2,-3.0,database
m501,Dolichol phosphate C15H27O4P,dolp,,C15H27O4P,-2.0,database
m502,Dolichyl phosphate D mannose C21H38O9P,dolmanp,,C21H38O9P,-1.0,database
m503,Dolichol phosphate C15H27O4P,dolp,,C15H27O4P,-2.0,database
m504,Mannan C6H10O5,mannan,C00464,C6H10O5,0.0,database
m505,DTMP C10H13N2O8P,dtmp,C00364,C10H13N2O8P,-2.0,database
m506,DTDP C10H13N2O11P2,dtdp,C00363,C10H13N2O11P2,-3.0,database
m507,D-Glycerate 2-phosphate,2pg,,C3H4O7P,-3.0,database
m508,Ethanolamine,etham,C00157,C10H18NO8PR2,1.0,database
m509,Phosphatidylethanolamine,pe_cho,C00346,C5H12NO4PRCO2R2CO2,0.0,database
m510,"Beta-1,3-glucan",13glucan,,C12H21O14P,-2.0,database
m511,D-Glucose,glc__D,C00029,C6H12O6,0.0,database
m512,Farnesyl diphosphate,frdp,C00448,C15H25O7P2,-3.0,database
m513,Geranyl diphosphate,grdp,C00353,C10H17O7P2,-3.0,database
m514,Octadecanoyl-CoA,octdcoa,,C39H68N7O19P3S,,database
m515,ATP C10H12N5O13P3,atp,C00002,C10H12N5O13P3,-4.0,database
m516,Methyl decanoate,methdca,C00249,C11H22O2,0.0,database
m517,AMP C10H12N5O7P,amp,C00020,C10H12N5O7P,-2.0,database
m518,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m519,Urate C5H4N4O3,urate,C02679,C5H4N4O3,0.0,database
m520,Retinyl Palmitate,M02837,C00249,C36H58O3,0.0,database
m521,Ethyl octanoate,ethoc,C04780,C10H20O2,0.0,database
m522,Myristoyl-CoA,myrstcoa,C05151,C35H62N7O17P3S,,database
m523,Iron,fe,C00023,Fe,0.0,database
m524,Protoporphyrin,ppp9,C01079,C34H32N4O4,-2.0,database
m525,Ferricytochrome b,ficytb,,C34H32FeN4O4,3.0,database
m526,Hydrogen peroxide,h2o2,C00027,H2O2,0.0,database
m527,FMN C17H19N4O9P,fmn,C00061,C17H19N4O9P,-3.0,database
m528,Flavin adenine dinucleotide oxidized,fad,C00016,C27H31N9O15P2,-3.0,database
m529,Formaldehyde,fald,C00067,CH2O,0.0,database
m530,S-(PGA1)-glutathione,C11304,C00051,C30H47N3O10S,-2.0,database
m531,S-Formylglutathione,Sfglutth,C01031,C11H16N3O7S,-1.0,database
m532,Formyl-CoA(4-),forcoa,C00234,C22H36N7O17P3S,0.0,database
m533,Formate,for,C00058,CH1O2,-1.0,database
m534,Formyl-CoA(4-),forcoa,C00234,C22H36N7O17P3S,0.0,database
m535,"D-Fructose 1,6-bisphosphate",fdp,C00354,C6H10O12P2,-4.0,database
m536,Glyceraldehyde 3-phosphate,g3p,C00118,C3H9O6P,0.0,database
m537,Fumarate,fum,C00122,C4H2O4,-2.0,database
m538,D-Malate,mal__D,C00149,C4H4O5,0.0,database
m539,D-Malate,mal__D,C00149,C4H4O5,0.0,database
m540,Orotate C5H3N2O4,orot,C00295,C5H3N2O4,-1.0,database
m541,Succinate,succ,C00042,C4H4O4,-2.0,database
m542,5-S-Cysteinylglycine Dopa,5cysgly34dhphe,C00051,C14H19N3O7S,0.0,database
m543,Gama-L-glutamyl-L-alanine,CE0469,,C8H13N2O5,-1.0,database
m544,D-Galactose,gal,C00052,C6H12O6,0.0,database
m545,Alpha-D-Galactose 1-phosphate,gal1p,C00446,C6H11O9P,-2.0,database
m546,D-Galactose,gal,C00052,C6H12O6,0.0,database
m547,Gamma-L-Glutamyl-L-cysteine,glucys,C22460,C8H13N2O5S,-1.0,database
m548,Undecaprenyl diphosphate,udcpdp,C04217,C55H89O7P2,-3.0,database
m549,Glycogen C6H10O5,glycogen,C00182,C6H10O5,0.0,database
m550,D-Glucosamine 6-phosphate,gam6p,C00352,C6H13NO8P,-1.0,database
m551,L-Glutamate 5-phosphate,glu5p,,C5H8NO7P,-2.0,database
m552,L-Glutamate 5-semialdehyde,glu5sa,C00430,C5H9NO3,0.0,database
m553,tRNA(Gln),,,,,unmatched
m554,L-Glutamyl-tRNA(Gln),glutrna_gln,,C5H7NO3R,0.0,database
m555,tRNA(Glu),,,,,unmatched
m556,glutamyl-tRNA(Glu),glutrna,,,,high
m557,TRNA (Glu),trnaglu,,C15H21N5O10PR,0.0,database
m558,glutamyl-tRNA(Glu),glutrna,,,,high
m559,Glutaredoxin disulfide,flutox,C00127,C20H32N6O12S2,-2.0,database
m560,Glutaredoxin disulfide,flutox,C00127,C20H32N6O12S2,-2.0,database
m561,S-(PGA1)-glutathione,C11304,C00051,C30H47N3O10S,-2.0,database
m562,Glycerol 3-phosphate,glyc3p,C00093,C3H7O6P,-2.0,database
m563,Flavin adenine dinucleotide oxidized,fad,C00016,C27H31N9O15P2,-3.0,database
m564,Glycerol 3-phosphate,glyc3p,C00093,C3H7O6P,-2.0,database
m565,Dihydroxyacetone phosphate,dhap,C00111,C3H5O6P,-2.0,database
m566,Flavin adenine dinucleotide reduced,fadh2,C01352,C27H33N9O15P2,-2.0,database
m567,Acyl-CoA,acoa,C00040,C22H31N7O17P3RS,,database
m568,Dihydroxyacetone phosphate,dhap,C00111,C3H5O6P,-2.0,database
m569,O-alkylglycerone phosphate(2-),akgp_cho,C03372,C4H10O4PRCO2,-2.0,database
m570,Acyl-CoA,acoa,C00040,C22H31N7O17P3RS,,database
m571,Dihydroxyacetone phosphate,dhap,C00111,C3H5O6P,-2.0,database
m572,O-alkylglycerone phosphate(2-),akgp_cho,C03372,C4H10O4PRCO2,-2.0,database
m573,Coenzyme A,coa,C00010,C21H32N7O16P3S,0.0,database
m574,Glycerol 3-phosphate,glyc3p,C00093,C3H7O6P,-2.0,database
m575,1-acyl-sn-glycerol 3-phosphate,,,,,unmatched
m576,Glycerol 3-phosphate,glyc3p,C00093,C3H7O6P,-2.0,database
m577,1-acyl-sn-glycerol 3-phosphate,,,,,unmatched
m578,Sn-Glycero-3-phosphocholine,g3pc,C00157,C8H20NO6P,0.0,database
m579,N1-(5-Phospho-D-ribosyl)glycinamide,gar,,C7H14N2O8P,-1.0,database
m580,L-2-Amino-3-oxobutanoate,2aobut,C03508,C4H7NO3,0.0,database
m581,Ammonium,nh4,C01342,NH4,1.0,database
m582,L-Serine,ser__L,C00065,C3H7NO3,0.0,database
m583,Lipoamide C8H15NOS2,lpam,C00248,C8H15NOS2,0.0,database
m584,S aminomethyldihydrolipoamide C9H21N2OS2,alpam,,C9H21N2OS2,1.0,database
m585,Dihydrolipoamide C8H17NOS2,dhlam,C00579,C8H17NOS2,0.0,database
m586,Lipoylprotein,lprot,,C6H9N3O,0.0,database
m587,S-Aminomethyldihydrolipoylprotein,samprot,,C6H9N3O,0.0,database
m588,Dihydrolipolprotein,dhlprot,C01242,C6H9N3O,0.0,database
m589,D-Glucose 1-phosphate,g1p,C00103,C6H11O9P,-2.0,database
m590,tRNA(Gly),,,,,unmatched
m591,glycyl-tRNA(Gly),glytrna,,,,high
m592,Xanthosine 5'-phosphate,xmp,,C10H11N4O9P,-2.0,database
m593,Guanosine,gsn,C00035,C10H12N5O5,0.0,database
m594,D-Ribose,rib__D,C00117,C5H10O5,0.0,database
m595,Guanine,gua,C00242,C5H5N5O,0.0,database
m596,6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-),acgpail_cho,C01288,C17H29NO14PRCO2R2CO2,-1.0,database
m597,Acetate,ac,C00033,C2H3O2,-1.0,database
m598,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,,C15H28NO13PRCO2R2CO2,0.0,database
m599,Phosphatidylethanolamine,pe_cho,C00350,C5H12NO4PRCO2R2CO2,0.0,database
m600,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,,C15H28NO13PRCO2R2CO2,0.0,database
m601,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,,C15H28NO13PRCO2R2CO2,0.0,database
m602,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,,C15H28NO13PRCO2R2CO2,0.0,database
m603,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,,C15H28NO13PRCO2R2CO2,0.0,database
m604,diglyceride,,,,,unmatched
m605,Xanthine,xan,C00385,C5H4N4O2,0.0,database
m606,DATP C10H12N5O12P3,datp,C00131,C10H12N5O12P3,-4.0,database
m607,DADP C10H12N5O9P2,dadp,C00206,C10H12N5O9P2,-3.0,database
m608,Heme C C40H42FeN6O8S2,hemeC,C00032,C34H32FeN4O4,-4.0,database
m609,Heme O C49H56FeN4O5,hemeO,C00032,C49H56FeN4O5,0.0,database
m610,Farnesyl diphosphate,frdp,C00448,C15H25O7P2,-3.0,database
m611,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone C38H56O4,2hpmhmbq,C05313,C38H56O4,0.0,database
m612,D-Mannose,man,C00096,C6H12O6,0.0,database
m613,D-Mannose 6-phosphate,man6p,C00275,C6H11O9P,-2.0,database
m614,L-Histidinol,histd,C00860,C6H12N3O,1.0,database
m615,L-Histidine,his__L,C00135,C6H9N3O2,0.0,database
m616,L-Histidinol phosphate,hisp,C01100,C6H11N3O4P,-1.0,database
m617,3-(Imidazol-4-yl)-2-oxopropyl phosphate,imacp,,C6H7N2O5P,-2.0,database
m618,tRNA(His),,,,,unmatched
m619,histidyl-tRNA(His),histrna,,,,high
m620,L-Histidine,his__L,C00135,C6H9N3O2,0.0,database
m621,TRNA(His),trnahis,,R,0.0,database
m622,histidyl-tRNA(His),histrna,,,,high
m623,N pai  Methyl L histidine C7H11N3O2,NPmehis,C01152,C7H11N3O2,0.0,database
m624,Homoisocitrate C7H7O7,hicit,C05662,C7H7O7,0.0,database
m625,2-Oxoglutarate,akg,C00026,C5H4O5,0.0,database
m626,H2O H2O,h2o,C00001,H2O,0.0,database
m627,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m628,S-homocitrate,Shcit,C01251,C7H7O7,,database
m629,2-Hydroxyadipic Acid,adpoh,C00322,C6H8O5,-2.0,database
m630,L-Homoserine,hom__L,C00263,C4H9NO3,0.0,database
m631,O-Phospho-L-homoserine,phom,C01102,C4H8NO6P,-2.0,database
m632,Trehalose,tre,,C12H22O11,0.0,database
m633,thioredoxin 1 (oxidized),trdox,,,0.0,medium
m634,Trehalose,tre,,C12H22O11,0.0,database
m635,thioredoxin 1 (oxidized),trdox,,,0.0,medium
m636,Trehalose,tre,,C12H22O11,0.0,database
m637,thioredoxin 1 (oxidized),trdox,,,0.0,medium
m638,(R)-S-Lactoylglutathione,lgt__S,C03451,C13H20N3O8S,-1.0,database
m639,(R)-S-Lactoylglutathione,lgt__S,C03451,C13H20N3O8S,-1.0,database
m640,Undecaprenyl diphosphate,udcpdp,C01230,C55H89O7P2,-3.0,database
m641,3 Hexaprenyl 4 hydroxybenzoate C37H53O3,3ophb_5,C13425,C37H53O3,-1.0,database
m642,4-Methyl-5-(2-hydroxyethyl)-thiazole,4mhetz,C04294,C6H9NOS,0.0,database
m643,4-Methyl-5-(2-phosphoethyl)-thiazole,4mpetz,C04327,C6H8NO4PS,-2.0,database
m644,Porphobilinogen,ppbng,C00931,C10H13N2O4,-1.0,database
m645,Uroporphyrinogen I,uppg1,,C40H36N4O16,-8.0,database
m646,3-Hydroxy-3-Methyl-Glutarate,3h3mglt,C00356,C6H8O5,-2.0,database
m647,(R)-mevalonate,mevR,C00418,C6H12O4,0.0,database
m648,3-Hydroxy-3-Methyl-Glutarate,3h3mglt,C00356,C6H8O5,-2.0,database
m649,4-Amino-5-hydroxymethyl-2-methylpyrimidine,4ahmmp,C01279,C6H9N3O,0.0,database
m650,4-Amino-2-methyl-5-phosphomethylpyrimidine,4a2mpmpmd,C04556,C6H10N3O4P,-1.0,database
m651,Hypoxanthine,hxan,C00262,C5H4N4O,0.0,database
m652,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,eig3p,C04666,C6H9N2O6P,-2.0,database
m653,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,2cpr5p,C01302,C12H13NO9P,-3.0,database
m654,C'-(3-Indolyl)-glycerol 3-phosphate,3ig3p,C03506,C11H12NO6P,-2.0,database
m655,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,fprica,C00655,C10H13N4O9P,-2.0,database
m656,"myo-inositol 1,3,4,5,6-pentakisphosphate",,,,,unmatched
m657,ADP C10H12N5O10P2,adp,C00005,C10H12N5O10P2,-3.0,database
m658,Myo-Inositol hexakisphosphate,minohp,C01204,C6H10O24P6,-12.0,database
m659,"1D-myo-inositol 1,3,4,5-tetrakisphosphate",,,,,unmatched
m660,"1D-myo-inositol 1,4,5,6-tetrakisphosphate",,,,,unmatched
m661,1D myo Inositol 1 4 5 trisphosphate ,mi145tp__D,C01243,C6H15O15P3,0.0,database
m662,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m663,1D-myo-Inositol 1-phosphate,mi1p__D,C00689,C6H11O9P,0.0,database
m664,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m665,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m666,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m667,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m668,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m669,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m670,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m671,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m672,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m673,Phosphatidylinositol mannoside (tuberculosis),PIM1,,C50H94O18P,,database
m674,1D-myo-Inositol 1-phosphate,mi1p__D,,C6H11O9P,0.0,database
m675,Phosphatidylinositol mannoside (tuberculosis),PIM1,,C50H94O18P,,database
m676,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m677,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m678,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m679,Mannose inositol phosphorylceramide  ceramide 3  26C  C5600H10900N100O1800P100,mipc326_SC,,C5600H10900N100O1800P100,-100.0,database
m680,Phosphatidylinositol mannoside (tuberculosis),PIM1,,C50H94O18P,,database
m681,Phosphatidylinositol mannoside (tuberculosis),PIM1,,C50H94O18P,,database
