class,mnxm,met_id,model_formula,metanetx_formula,metanetx_charge,H_diff,met_name
only_H,MNXM572,m846[C_cy],C9H14N2O11P2,C9H11N2O11P2,-3,3,dUDP_C9H14N2O11P2
only_H,MNXM820,m849[C_cy],C8H13NO6,C8H12NO6,-1,1,O-succinyl-L-homoserine_C8H13NO6
only_H,MNXM118,m850[C_cy],C4H12N2,C4H14N2,2,-2,putrescine_C4H12N2
only_H,MNXM1371612,m856[C_cy],C9H17NO5,C9H16NO5,-1,1,(R)-pantothenate_C9H17NO5
only_H,MNXM1105798,m878[C_cy],C8H16NO9P,C8H14NO9P,-2,2,N-acetyl-alpha-D-glucosamine 1-phosphate_C8H16NO9P
only_H,MNXM1103456,m880[C_cy],C11H20N4O11P2,C11H19N4O11P2,-1,1,CDP-ethanolamine_C11H20N4O11P2
only_H,MNXM1103205,m888[C_cy],C5H11O8P,C5H9O8P,-2,2,alpha-D-ribose 1-phosphate_C5H11O8P
only_H,MNXM153,m903[C_cy],C9H8O4,C9H7O4,-1,1,3-(4-hydroxyphenyl)pyruvate_C9H8O4
only_H,MNXM548,m919[C_cy],C8H12N2O2,C8H13N2O2,1,-1,pyridoxamine_C8H12N2O2
only_H,MNXM366,m920[C_cy],C8H13N2O5P,C8H12N2O5P,-1,1,pyridoxamine 5'-phosphate_C8H13N2O5P
only_H,MNXM161,m921[C_cy],C8H10NO6P,C8H8NO6P,-2,2,pyridoxal 5'-phosphate_C8H10NO6P
only_H,MNXM454,m922[C_cy],C8H12NO6P,C8H10NO6P,-2,2,pyridoxine 5'-phosphate_C8H12NO6P
only_H,MNXM186,m938[C_cy],C5H11O8P,C5H9O8P,-2,2,D-xylulose 5-phosphate_C5H11O8P
only_H,MNXM735171,m940[C_cy],C11H20N2O6,C11H19N2O6,-1,1,L-saccharopine_C11H20N2O6
only_H,MNXM602,m945[C_cy],C7H10O5,C7H9O5,-1,1,shikimate_C7H10O5
only_H,MNXM740870,m947[C_cy],C42H46N4O16,C42H39N4O16,-7,7,sirohydrochlorin_C42H46N4O16
only_H,MNXM1103529,m950[C_er],C18H40NO5P,C18H39NO5P,-1,1,sphinganine 1-phosphate_C18H40NO5P
only_H,MNXM1374459,m965[C_cy],C26H44NO7S,C26H45NO7S,0,-1,taurocholic acid_C26H44NO7S
only_H,MNXM414,m1006[C_cy],C40H44N4O16,C40H36N4O16,-8,8,uroporphyrinogen III_C40H44N4O16
only_H,MNXM681265,m1105[C_ex],C6H13NO2S,C6H14NO2S,1,-1,S-methyl-L-methionine_C6H13NO2S
only_H,MNXM1103369,m1433[C_em],C43H76N7O18P3S,C43H72N7O18P3S,-4,4,3-oxodocosanoyl-CoA_C43H76N7O18P3S
only_H,MNXM1103371,m1435[C_em],C45H80N7O18P3S,C45H76N7O18P3S,-4,4,3-oxotetracosanoyl-CoA_C45H80N7O18P3S
only_H,MNXM1363898,m1442[C_em],C39H70N7O18P3S,C39H66N7O18P3S,-4,4,3-hydroxyoctadecanoyl-CoA_C39H70N7O18P3S
only_H,MNXM1363908,m1443[C_em],C41H74N7O18P3S,C41H70N7O18P3S,-4,4,3-hydroxyicosanoyl-CoA_C41H74N7O18P3S
only_H,MNXM1103616,m1525[C_pe],C27H46N7O17P3S,C27H42N7O17P3S,-4,4,hexanoyl-CoA_C27H46N7O17P3S
only_H,MNXM1104699,m1560[C_pe],C27H44N7O18P3S,C27H40N7O18P3S,-4,4,3-oxohexanoyl-CoA_C27H44N7O18P3S
only_H,MNXM1363975,m1828[C_mi],C26H44N7O17P3S,C26H40N7O17P3S,-4,4,3-methylbutanoyl-CoA_C26H44N7O17P3S
only_H,MNXM1104531,m1829[C_mi],C25H42N7O17P3S,C25H38N7O17P3S,-4,4,2-methylpropanoyl-CoA_C25H42N7O17P3S
other_elements,MNXM1563880,m180[C_mi],C2H3OSR,C2H3OS*,,{'R': 1},acetyl-ACP_C2H3OSR
other_elements,MNXM1555869,m249[C_er],C17H28NO17PR2,C17H30NO17P,,"{'H': -2, 'R': 2}",6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol_C17H28NO17PR2
other_elements,MNXM726556,m289[C_go],C37H66N2O22P2,C47H82N2O22P2,,"{'C': -10, 'H': -16}",beta-D-mannosyldiacetylchitobiosyldiphosphodolichol_C37H66N2O22P2
other_elements,MNXM726444,m291[C_go],C38H68N2O27P2(C5H8)n,C53H92N2O27P2,,"{'C': -10, 'H': -16}",alpha-D-mannosyl-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol_C38H68N2O27P2(C5H8)n
other_elements,MNXM1513336,m386[C_er],C42H85NO3,C63H125NO6,,"{'C': -21, 'H': -40, 'O': -3}",ceramide-1-(C24)_
other_elements,MNXM1560576,m401[C_cy],H2O(C8H13NO5)n,C24H41N3O16,,"{'C': -16, 'H': -26, 'N': -2, 'O': -10}",chitin_H2O(C8H13NO5)n
other_elements,MNXM737449,m499[C_cy],C15H28O,C25H44O,,"{'C': -10, 'H': -16}",dolichol_C15H28O
other_elements,MNXM1107957,m501[C_cy],C20H37O4P(C5H8)n,C25H45O4P,,{},dolichyl phosphate_C20H37O4P(C5H8)n
other_elements,MNXM1106058,m502[C_er],C26H47O9P(C5H8)n,C31H55O9P,,{},dolichyl D-mannosyl phosphate_C26H47O9P(C5H8)n
other_elements,MNXM1380861,m583[C_mi],C8H15NOS2,C17H32N2O4,,"{'C': -9, 'H': -17, 'N': -1, 'S': 2, 'O': -3}",lipoamide_C8H15NOS2
other_elements,MNXM731215,m588[C_mi],C8H15OS2R,C8H16NOS2*,,"{'H': -1, 'N': -1, 'R': 1}",dihydrolipoylprotein_C8H15OS2R
other_elements,MNXM1107996,m789[C_mm],C9H20NO7PR,C9H20NO7P*,,{'R': 1},1-acylglycerophosphocholine_C9H20NO7PR
other_elements,MNXM1371412,m868[C_mm],C8H11NO10PR2,C8H12NO10P*2,,"{'H': -1, 'R': 2}",phosphatidyl-L-serine_C8H11NO10PR2
other_elements,MNXM1563644,m1421[C_mi],C8H15OSR,C8H15OS*,,{'R': 1},octanoyl-ACP_C8H15OSR
other_elements,MNXM739987,m1719[C_em],C8H11NO10PR2,C9H16NO8P*2,,"{'C': -1, 'H': -5, 'R': 2, 'O': 2}","phosphatidyl-N,N-dimethylethanolamine_C8H11NO10PR2"
other_elements,MNXM1092909,m1948[C_cy],C120CoA,C33H54N7O17P3S,,"{'C': 87, 'A': 1, 'H': -54, 'N': -7, 'P': -3, 'S': -1, 'Co': 1, 'O': -17}",Dodecanoyl_CoA__n_C120CoA
